Run ID    : efficientnetb1_5ch_euvp_bs16_20260624_132042
Ckpt dir  : ./checkpoints/efficientnetb1_5ch_euvp_bs16_20260624_132042
Log file  : D:\underwater-image-enhancement\logs\efficientnetb1_5ch_euvp_bs16_20260624_132042.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model efficientnetb1_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name efficientnetb1_5ch_euvp_bs16
Timestamp : 2026-06-24 13:20:42
-----------------------------------------------------------------

=================================================================
  Training: efficientnetb1_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 150/643] Loss: 0.9700
   [Batch 200/643] Loss: 0.9081
   [Batch 250/643] Loss: 0.8913
   [Batch 300/643] Loss: 0.8641
   [Batch 350/643] Loss: 0.9086
   [Batch 400/643] Loss: 0.9131
   [Batch 450/643] Loss: 0.8851
   [Batch 500/643] Loss: 0.9016
   [Batch 550/643] Loss: 0.8561
   [Batch 600/643] Loss: 0.9948
    42    0.9166    0.9710   23.513   0.8649   5.00e-05  178.6s
   [Batch 50/643] Loss: 0.8274
   [Batch 100/643] Loss: 0.9373
   [Batch 150/643] Loss: 0.9089
   [Batch 200/643] Loss: 0.9130
   [Batch 250/643] Loss: 0.8101
   [Batch 300/643] Loss: 0.9324
   [Batch 350/643] Loss: 0.9832
   [Batch 400/643] Loss: 0.9043
   [Batch 450/643] Loss: 0.8569
   [Batch 500/643] Loss: 0.8990
   [Batch 550/643] Loss: 0.8445
   [Batch 600/643] Loss: 0.9322
   [Batch 50/643] Loss: 0.8369
   [Batch 100/643] Loss: 0.9525
   [Batch 150/643] Loss: 0.8903
   [Batch 200/643] Loss: 0.7762
   [Batch 250/643] Loss: 0.9170
   [Batch 300/643] Loss: 0.9402
   [Batch 350/643] Loss: 0.8295
   [Batch 400/643] Loss: 0.8700
   [Batch 450/643] Loss: 0.8279
   [Batch 500/643] Loss: 0.8346
   [Batch 550/643] Loss: 0.8491
   [Batch 600/643] Loss: 0.9065
    44    0.9152    0.9650   23.599   0.8656   5.00e-05  178.7s  ← BEST ✓
   [Batch 50/643] Loss: 0.9258
   [Batch 100/643] Loss: 0.9829
   [Batch 150/643] Loss: 0.9516
   [Batch 200/643] Loss: 1.0266
   [Batch 250/643] Loss: 0.9253
   [Batch 300/643] Loss: 0.9488
   [Batch 350/643] Loss: 0.9847
   [Batch 400/643] Loss: 0.9768
   [Batch 450/643] Loss: 0.8619
   [Batch 500/643] Loss: 0.9549
   [Batch 550/643] Loss: 0.8960
   [Batch 600/643] Loss: 0.8183
   [Batch 50/643] Loss: 0.8609
   [Batch 100/643] Loss: 0.7937
   [Batch 150/643] Loss: 0.8895
   [Batch 200/643] Loss: 0.9173
   [Batch 250/643] Loss: 0.8890
   [Batch 300/643] Loss: 0.8919
   [Batch 350/643] Loss: 0.9834
   [Batch 400/643] Loss: 1.0197
   [Batch 450/643] Loss: 0.8646
   [Batch 500/643] Loss: 0.8862
   [Batch 550/643] Loss: 1.1296
   [Batch 600/643] Loss: 0.9370
    46    0.9130    0.9776   23.611   0.8631   5.00e-05  179.0s  ← BEST ✓
